,fbstock_change
2020-10-29 hr19,4.279999999999973
2020-10-29 hr20,4.279999999999973
2020-10-29 hr21,4.279999999999973
2020-10-29 hr22,4.279999999999973
2020-10-30 hr00,-11.389999999999986
2020-10-30 hr01,-11.389999999999986
2020-10-30 hr03,-11.389999999999986
2020-10-30 hr04,-11.389999999999986
2020-10-30 hr05,-11.389999999999986
2020-10-30 hr06,-11.389999999999986
2020-10-30 hr07,-11.389999999999986
2020-10-30 hr08,-11.389999999999986
2020-10-30 hr09,-11.389999999999986
2020-10-30 hr10,-11.389999999999986
2020-10-30 hr11,-11.389999999999986
2020-10-30 hr12,-11.389999999999986
2020-10-30 hr13,-11.389999999999986
2020-10-30 hr14,-11.389999999999986
2020-10-30 hr15,-11.389999999999986
2020-10-30 hr16,-11.389999999999986
2020-10-30 hr17,-11.389999999999986
2020-10-30 hr18,-11.389999999999986
2020-10-30 hr19,-11.389999999999986
2020-10-30 hr23,-11.389999999999986
2020-10-31 hr04,-3.240000000000009
2020-10-31 hr05,-3.240000000000009
2020-10-31 hr06,-3.240000000000009
2020-10-31 hr07,-3.240000000000009
2020-10-31 hr08,-3.240000000000009
2020-10-31 hr09,-3.240000000000009
2020-10-31 hr10,-3.240000000000009
2020-10-31 hr12,-3.240000000000009
2020-10-31 hr13,-3.240000000000009
2020-10-31 hr19,-3.240000000000009
2020-11-01 hr00,-3.240000000000009
2020-11-01 hr02,-3.240000000000009
2020-11-01 hr03,-3.240000000000009
2020-11-01 hr05,-3.240000000000009
2020-11-01 hr06,-3.240000000000009
2020-11-01 hr08,-3.240000000000009
2020-11-01 hr09,-3.240000000000009
2020-11-01 hr10,-3.240000000000009
2020-11-01 hr12,-3.240000000000009
2020-11-01 hr14,-3.240000000000009
2020-11-01 hr15,-3.240000000000009
2020-11-01 hr16,-3.240000000000009
2020-11-01 hr18,-3.240000000000009
2020-11-01 hr19,-3.240000000000009
2020-11-01 hr21,-3.240000000000009
2020-11-01 hr23,-3.240000000000009
2020-11-02 hr01,-3.240000000000009
2020-11-02 hr03,-3.240000000000009
2020-11-02 hr04,-3.240000000000009
